gene1,gene2,GI_scores
AARS2,AATF,0.696278178158
AARS2,ABCB7,-1.5406072747100001
AARS2,ACTL6A,0.242722644919
AARS2,ACTR10,0.195707692927
AARS2,ADAT2,0.43825269337399997
AARS2,AFG3L2,0.288638426071
AARS2,ANKZF1,-0.886588573133
AARS2,ARGLU1,0.313084965545
AARS2,ARIH1,-0.613384633172
AARS2,ARL2,0.47482129544299995
AARS2,ASCC3,-0.60385318702
AARS2,ASNA1,-0.0096045592115
AARS2,ATP1A1,-0.499036816872
AARS2,ATP5A1,0.0573910842731
AARS2,ATP5F1,0.38953548765100005
AARS2,ATP5J2,0.13436324412
AARS2,ATP6V1G1,-0.267786715055
AARS2,AURKA,-0.6996698158
AARS2,BDP1,-0.182988040938
AARS2,BNIP1,-0.643528040153
AARS2,BOD1L1,0.266369141854
AARS2,BTF3,0.35358616860200004
AARS2,BUB3,-0.224695799206
AARS2,C11orf30,-0.32735682599300003
AARS2,C14orf2,1.21984948073
AARS2,C6orf203,0.17491561203699998
AARS2,C9orf114,-0.07077877503600001
AARS2,CACTIN,-0.696175807422
AARS2,CAMLG,-0.45262737048100005
AARS2,CAPZB,-0.416746755197
AARS2,CARS,-0.12390933216399999
AARS2,CARS2,0.0680960471535
AARS2,CCDC84,0.0357113116057
AARS2,CCNK,0.221141199826
AARS2,CCT8,-0.143704268944
AARS2,CDC16,0.69159734676
AARS2,CDC23,-0.0732814391622
AARS2,CDC26,0.698478335652
AARS2,CDC27,0.679332860682
AARS2,CDC40,-0.30467043862599996
AARS2,CDK1,0.765775541026
AARS2,CDK12,-0.484455704294
AARS2,CENPK,0.11247127586
AARS2,CENPM,0.0988694163844
AARS2,CENPP,-0.220996839741
AARS2,CENPW,0.030872221731699998
AARS2,CEP152,0.677679005956
AARS2,CEP192,-0.8891836914419999
AARS2,CHMP2A,-0.952410728926
AARS2,CIRH1A,-0.568900875089
AARS2,CMAS,-0.272828234785
AARS2,CNOT1,-0.68987506074
AARS2,COA3,0.70541321161
AARS2,COPA,-0.18937450567000003
AARS2,COPE,0.720420982575
AARS2,COPS4,-0.82837126522
AARS2,COQ2,0.52581187598
AARS2,COX16,0.42278117824100003
AARS2,COX5A,0.862057251857
AARS2,COX7C,-0.480965415425
AARS2,CSTF3,0.430864311061
AARS2,CTNNBL1,-0.364768665893
AARS2,CWC22,-0.758663544463
AARS2,DAP3,0.41995145314800003
AARS2,DARS,-0.8658969652490001
AARS2,DCAF7,-0.543758042113
AARS2,DCTN4,0.7660357679719999
AARS2,DDX18,-0.21237318842099998
AARS2,DDX46,-0.23756568897500002
AARS2,DHODH,0.041470840857
AARS2,DHX37,-1.15060715339
AARS2,DICER1,0.133478526086
AARS2,DLST,0.120678866857
AARS2,DNTTIP2,-0.08762510655269999
AARS2,DUT,-0.972723917667
AARS2,DYNC1H1,-0.528479308874
AARS2,EBNA1BP2,-0.002814562969
AARS2,EEF1G,0.145205865337
AARS2,EFR3A,-0.201201420873
AARS2,EIF2B2,-0.0649046175885
AARS2,EIF2B5,0.000896766081
AARS2,EIF3C,-0.283791064656
AARS2,EIF3H,0.319797361696
AARS2,EIF3M,-0.37863539455300005
AARS2,EIF4A1,0.578240088716
AARS2,EIF4G1,-0.23909254457100002
AARS2,EIF4G2,-0.20793960832000002
AARS2,EIF5B,-0.409216795923
AARS2,EIF6,0.0239721084555
AARS2,ELP4,-0.396568658473
AARS2,EMC1,0.058906280852
AARS2,EMC2,-0.955769745921
AARS2,EMC4,-0.852660703642
AARS2,EMC7,-0.340309132292
AARS2,EMG1,0.0017132691325
AARS2,EXOSC2,0.766936919445
AARS2,EXOSC4,0.21053029979899998
AARS2,EXOSC6,1.2631896490899999
AARS2,FAM208A,-0.816833898271
AARS2,FAM50A,-0.806854744489
AARS2,FAM98B,-0.327167295918
AARS2,FARSA,-0.34940708385200003
AARS2,FBXO28,0.517803217784
AARS2,FDPS,-0.255336098965
AARS2,FH,0.614015256651
AARS2,FIP1L1,-0.7820968434209999
AARS2,GEMIN2,0.276565065049
AARS2,GEMIN4,0.452410207754
AARS2,GFER,-0.25957153313700004
AARS2,GNL2,-0.10123687723099999
AARS2,GNL3L,-0.2904123811
AARS2,GNPAT,0.41779857509999996
AARS2,GPN3,-0.35838246508500005
AARS2,GTF2H4,0.178793613402
AARS2,GTF3C3,-0.190874560887
AARS2,GTPBP4,0.414559086174
AARS2,HCCS,1.28139460502
AARS2,HSCB,-0.76021672823
AARS2,HUS1,0.887449951143
AARS2,HYPK,-0.441255377698
AARS2,IARS,0.08693509375250001
AARS2,ICT1,1.15274514146
AARS2,IMPDH2,-0.156855848406
AARS2,INTS3,0.8007509557870001
AARS2,INTS5,0.49804851324199995
AARS2,KARS,0.187876256856
AARS2,KCTD10,-0.187576178061
AARS2,KDM1A,0.507230960194
AARS2,KIAA1731,-1.4031048434
AARS2,LARS,-0.5475507141100001
AARS2,LARS2,-0.0150243501312
AARS2,LEO1,2.13949717511
AARS2,LIAS,0.59941304903
AARS2,LONP1,-0.237827097957
AARS2,Ltn1,0.32110395155099997
AARS2,MAPKAP1,-0.564799215124
AARS2,MARS,-1.25207783267
AARS2,MARS2,0.770787639973
AARS2,MASTL,-0.484605723331
AARS2,MAX,-0.835530456666
AARS2,MBTPS2,0.206105061266
AARS2,MCM3,0.183986314369
AARS2,MCM3AP,0.59971083734
AARS2,MCM4,-1.10078045953
AARS2,MED1,-0.145214612446
AARS2,MED10,1.34887179743
AARS2,MED14,-0.106130599076
AARS2,MED17,-0.282429298184
AARS2,MED22,0.724183012571
AARS2,MED23,-0.7100036908130001
AARS2,MED24,-0.993162933357
AARS2,MED28,0.309896363842
AARS2,MED9,-0.201993680806
AARS2,METAP2,-0.653812620886
AARS2,METTL17,1.51141420623
AARS2,MFAP1,-0.401682465942
AARS2,MINOS1,0.537464418156
AARS2,MINOS1-NBL1,0.666311715002
AARS2,MPHOSPH6,-1.0259160927700002
AARS2,MRP63,1.15803369595
AARS2,MRPL10,0.805076144365
AARS2,MRPL11,0.701798307361
AARS2,MRPL13,0.647622895625
AARS2,MRPL15,0.9308502494840001
AARS2,MRPL16,0.8804051493799999
AARS2,MRPL18,1.14796041731
AARS2,MRPL19,2.33459507862
AARS2,MRPL22,-0.191527981461
AARS2,MRPL24,0.6188509066350001
AARS2,MRPL27,1.70820116872
AARS2,MRPL3,0.8678345568320001
AARS2,MRPL32,0.9541861940549999
AARS2,MRPL33,1.08216561109
AARS2,MRPL35,1.05416930431
AARS2,MRPL36,1.5243642919299998
AARS2,MRPL37,0.753635739431
AARS2,MRPL39,0.631707437225
AARS2,MRPL42,1.2071317932799999
AARS2,MRPL43,0.612777757244
AARS2,MRPL46,1.21175866415
AARS2,MRPS10,-0.13385593045
AARS2,MRPS11,0.765024918669
AARS2,MRPS14,-0.50769211961
AARS2,MRPS16,-0.347969497877
AARS2,MRPS18A,-0.152455392916
AARS2,MRPS18B,1.9248917477400003
AARS2,MRPS21,1.05269315859
AARS2,MRPS23,0.871914310898
AARS2,MRPS25,0.488894380076
AARS2,MRPS27,1.13861036985
AARS2,MRPS30,0.817907637652
AARS2,MRPS35,0.8718163194059999
AARS2,MRPS5,1.04630485046
AARS2,MRPS9,0.922161888262
AARS2,MTBP,-0.315915394101
AARS2,MTERFD1,0.13536881775499998
AARS2,MTHFD2,0.24576246380800001
AARS2,MTOR,0.0803015352395
AARS2,MTPAP,0.398083340895
AARS2,MZT1,-0.60059974348
AARS2,NAA25,0.11008543557099999
AARS2,NACA,0.603143707007
AARS2,NAMPT,-0.985263963135
AARS2,NAT10,-0.17418960867199998
AARS2,NCAPD2,-0.5882155303509999
AARS2,NCBP1,-0.623028776517
AARS2,NDUFA2,-0.450285810902
AARS2,NDUFA8,0.657973357958
AARS2,NDUFA9,2.2246606881099997
AARS2,NDUFB1,0.702008574215
AARS2,NDUFB2,1.14485519192
AARS2,NDUFB4,0.584535064782
