gene1,gene2
AATK,AANAT
ABCA8,ABCA5
ABCB5,ABCA13
ABCC12,ABCC11
ABCD3,ABCA4
ABHD6,ABHD14A
ACAD10,ABCB9
ACADS,ACACB
ACAP1,ACADVL
ACCSL,ABTB2
ACCSL,ACCS
ACE,AANAT
ACLY,ACACA
ACOT6,ABCD4
ACOX1,ABCD1
ACOX1,ACBD5
ACP5,ABHD8
ACP7,ACP4
ACSBG2,ACER1
ACSF2,ABI3
ACSF2,ACBD4
ACSM2A,ABCC6
ACSM2A,ACSM1
ACSM2B,ACSM1
ACSM2B,ACSM2A
ACSM3,ABCC6
ACSM3,ACSM2A
ACSM5,ABCC6
ACSM5,ACSM1
ACSM5,ACSM2A
ACSM5,ACSM2B
ACSS1,ABHD12
ACSS2,AAR2
ACTG1,AATK
ACTL10,AAR2
ACTL10,ACSS2
ACTL9,ACP5
ACTL9,ACSBG2
ACTR2,ABI1
ACTR3,ABI1
ACTR3,ACTR2
ACTR6,ACTL6A
ACTR8,ACTR5
ACVRL1,ACVR1B
ACYP1,ABCD4
ADA,AAR2
ADA,ACOT8
ADAM11,AARSD1
ADAM11,ACBD4
ADAM11,ACE
ADAM11,ACSF2
ADAM21,ADAM20
ADAM22,ACTL6B
ADAM32,ADAM18
ADAM32,ADAM2
ADAM7,ADAM28
ADAM9,ADAM2
ADAM9,ADAM32
ADAMDEC1,ADAM28
ADAMDEC1,ADAM7
ADAMTS10,ABHD8
ADAMTS10,ACP5
ADAMTS10,ACSBG2
ADAMTS10,ACTL9
ADAMTS5,ADAMTS1
ADAP2,ABHD15
ADAP2,ADAM11
ADAT2,AASDHPPT
ADAT2,ACTR1A
ADAT2,ACTR2
ADAT3,ADAT2
ADCY1,ABCA13
ADCY6,ACVRL1
ADCY6,ADAMTS20
ADCY8,AARD
ADCYAP1R1,ADCY1
ADGRA2,ADAM2
ADGRA2,ADAM32
ADGRE1,ACP5
ADGRE1,ACSBG2
ADGRE1,ACTL9
ADGRE1,ADAMTS10
ADGRE2,ACTL9
ADGRE2,ADAMTS10
ADGRE3,ACP5
ADGRE3,ADAMTS10
ADGRE3,ADGRE2
ADGRE5,ABHD8
ADGRE5,ACSBG2
ADGRE5,ACTL9
ADGRE5,ADAMTS10
ADGRE5,ADGRE1
ADGRE5,ADGRE2
ADGRE5,ADGRE3
ADGRF5,ADGRF1
ADGRG1,ABCC11
ADGRG1,ABCC12
ADGRG3,ABCC12
ADGRG3,ADGRG1
ADGRG5,ABCC11
ADGRG5,ABCC12
ADGRG5,ADGRG1
ADGRG5,ADGRG3
ADGRL1,ABHD8
ADGRL1,ACTL9
ADGRL1,ADAMTS10
ADGRL1,ADGRE5
ADIG,ACTL10
ADIG,ADA
ADIRF,ACTA2
ADM2,A4GALT
ADM2,ACR
